number,name,position,height,weight,date_of_birth,team
4,"Colquitt, Britton",P,75,205,3/20/85,DEN
87,"Decker, Eric",WR,75,214,3/15/87,DEN
81,"Dreessen, Joel",TE,76,245,7/26/82,DEN
2,"Dysert, Zac",QB,75,221,2/8/90,DEN
74,"Franklin, Orlando",T,79,320,12/16/87,DEN
85,"Green, Virgil",TE,77,255,8/3/88,DEN
25,"Harris, Chris",CB,70,199,6/18/89,DEN
21,"Hillman, Ronnie",RB,70,195,9/14/91,DEN
11,"Holliday, Trindon",WR,65,170,4/27/86,DEN
33,"Ihenacho, Duke",SS,73,207,6/16/89,DEN
56,"Irving, Nate",OLB,73,245,7/12/88,DEN
97,"Jackson, Malik",DE,77,293,1/11/90,DEN
23,"Jammer, Quentin",CB,72,204,6/19/79,DEN
53,"Johnson, Steven",LB,73,237,3/28/88,DEN
69,"Justice, Winston",OT,78,317,9/14/84,DEN
94,"Knighton, Terrance",DT,75,335,7/4/86,DEN
67,"Koppen, Dan",C,74,300,9/12/79,DEN
73,"Kuper, Chris",G,76,303,12/19/82,DEN
51,"Lenon, Paris",LB,74,240,11/26/77,DEN
18,"Manning, Peyton",QB,77,230,3/24/76,DEN
47,"McCray, Lerentee",OLB,75,249,8/26/90,DEN
58,"Miller, Von",OLB,75,250,3/26/89,DEN
72,"Moffitt, John",OG,76,319,10/28/86,DEN
26,"Moore, Rahim",FS,73,195,2/11/90,DEN
27,"Moreno, Knowshon",RB,71,220,7/16/87,DEN
17,"Osweiler, Brock",QB,80,240,11/22/90,DEN
90,"Phillips, Shaun",DE,75,255,5/13/81,DEN
5,"Prater, Matt",K,70,195,8/10/84,DEN
66,"Ramirez, Manny",C,75,320,2/13/83,DEN
57,"Robinson, Adrian",LB,73,250,11/21/89,DEN
45,"Rodgers-Cromartie, Dominique",CB,74,193,4/7/86,DEN
69,"Smith, Quanterus",DE,77,255,11/26/89,DEN
84,"Tamme, Jacob",TE,75,230,3/15/85,DEN
88,"Thomas, Demaryius",WR,75,229,12/25/87,DEN
80,"Thomas, Julius",TE,77,250,6/27/88,DEN
59,"Trevathan, Danny",OLB,73,240,3/24/90,DEN
96,"Unrein, Mitch",DT,76,306,3/25/87,DEN
60,"Vallos, Steve",C,75,310,12/28/83,DEN
65,"Vasquez, Louis",G,77,335,4/11/87,DEN
99,"Vickerson, Kevin",DT,77,328,1/8/83,DEN
50,"Walton, J.D.",C,75,305,3/24/87,DEN
36,"Webster, Kayvon",CB,71,198,2/1/91,DEN
83,"Welker, Wes",WR,69,185,5/1/81,DEN
92,"Williams, Sylvester",DT,74,313,11/21/88,DEN
95,"Wolfe, Derek",DE,77,285,2/24/90,DEN
52,"Woodyard, Wesley",OLB,72,233,7/21/86,DEN
2,"Akers, David",K,70,200,12/9/74,DET
94,"Ansah, Ezekiel",DE,77,271,5/29/89,DET
